time,alpha,beta,gamma,delta
0.530,0.7227,-0.7465,-0.3127,0.5705
0.540,0.6953,-0.7963,-0.3570,0.5906
0.550,0.7351,-0.8034,-0.3870,0.5527
0.560,0.7202,-0.7807,-0.3805,0.5415
0.570,0.7118,-0.7191,-0.3147,0.5257
0.580,0.6503,-0.7328,-0.3076,0.5038
0.590,0.6806,-0.6668,-0.3126,0.4498
0.600,0.6426,-0.5780,-0.3151,0.4283
0.610,0.6741,-0.4927,-0.2452,0.4231
0.620,0.6588,-0.4748,-0.2365,0.4007
0.630,0.6903,-0.3970,-0.1316,0.3363
0.640,0.6881,-0.3619,-0.1767,0.3503
0.650,0.7120,-0.3744,-0.1534,0.2803
0.660,0.7042,-0.3701,-0.1628,0.2029
0.670,0.6935,-0.3591,-0.0824,0.1968
0.680,0.6758,-0.4259,-0.0539,0.1933
0.690,0.7241,-0.4084,-0.0352,0.1895
0.700,0.7033,-0.4809,-0.0125,0.1309
0.710,0.6617,-0.5069,0.0322,0.1191
0.720,0.6866,-0.5377,0.0907,0.1150
0.730,0.6829,-0.5795,0.0837,0.0811
0.740,0.6789,-0.5722,0.1503,0.1220
0.750,0.6864,-0.5738,0.1544,0.0817
0.760,0.6521,-0.5168,0.1524,0.1505
0.770,0.6334,-0.5093,0.2046,0.1130
0.780,0.5944,-0.3915,0.2260,0.0956
0.790,0.5401,-0.3027,0.2677,0.1939
0.800,0.5651,-0.2699,0.2791,0.1411
0.810,0.5245,-0.1337,0.2614,0.2470
0.820,0.4664,-0.0922,0.3090,0.2229
0.830,0.4157,0.0097,0.3477,0.2427
0.840,0.3792,0.1131,0.3190,0.3116
0.850,0.3363,0.1026,0.3619,0.3474
0.860,0.2736,0.1718,0.3762,0.3816
0.870,0.2412,0.1225,0.3943,0.4223
0.880,0.2266,0.1205,0.3893,0.4634
0.890,0.1986,0.0949,0.3986,0.5194
0.900,0.1498,0.0496,0.3662,0.5303
0.910,0.1043,0.0522,0.3848,0.6142
0.920,0.1447,0.0092,0.3533,0.6107
0.930,0.0761,-0.0360,0.3756,0.6571
0.940,0.0502,-0.0211,0.3596,0.7170
0.950,0.0411,-0.0036,0.3594,0.7267
0.960,0.0181,0.0603,0.3714,0.7450
0.970,0.0497,0.0954,0.3675,0.7324
0.980,0.0055,0.2012,0.3473,0.7621
0.990,-0.0174,0.2701,0.3024,0.7527
1.000,-0.0130,0.3507,0.2550,0.7827
1.010,-0.0029,0.4201,0.2989,0.7873
1.020,-0.0255,0.4974,0.2712,0.7395
1.030,-0.0284,0.5647,0.2364,0.7642
1.040,-0.0311,0.6496,0.2159,0.7393
1.050,-0.0685,0.6713,0.1971,0.7560
1.060,-0.0744,0.6666,0.1595,0.7028
1.070,-0.0774,0.6211,0.1505,0.6916
1.080,-0.0765,0.6726,0.1001,0.6487
1.090,-0.1238,0.6260,0.0438,0.6274
1.100,-0.1815,0.4876,0.0096,0.5562
1.110,-0.1620,0.4726,0.0167,0.5252
1.120,-0.2052,0.4233,0.0188,0.4923
1.130,-0.2693,0.4133,-0.0359,0.5040
1.140,-0.2900,0.3665,-0.0761,0.4276
1.150,-0.3178,0.3954,-0.0954,0.4207
1.160,-0.3834,0.4001,-0.1170,0.3996
1.170,-0.4155,0.4281,-0.1684,0.3504
1.180,-0.4653,0.4885,-0.2116,0.3277
1.190,-0.5189,0.5226,-0.1774,0.2532
1.200,-0.5306,0.6008,-0.2424,0.2832
1.210,-0.5332,0.6194,-0.2740,0.2526
1.220,-0.6204,0.7031,-0.2636,0.2345
1.230,-0.6265,0.7518,-0.3014,0.2351
1.240,-0.6558,0.7784,-0.3141,0.2045
1.250,-0.6690,0.7700,-0.3404,0.2159
1.260,-0.6531,0.7586,-0.3200,0.2191
1.270,-0.6745,0.7204,-0.3429,0.2265
1.280,-0.6995,0.6381,-0.3572,0.1829
1.290,-0.7051,0.5963,-0.3415,0.2395
1.300,-0.6874,0.5111,-0.3931,0.2281
1.310,-0.7236,0.4055,-0.3642,0.2757
1.320,-0.6889,0.3609,-0.3582,0.3280
1.330,-0.7078,0.2908,-0.3897,0.3043
1.340,-0.6750,0.2716,-0.3771,0.3592
1.350,-0.6601,0.1700,-0.3691,0.4062
1.360,-0.6871,0.2323,-0.3468,0.4338
1.370,-0.6722,0.2019,-0.3680,0.4493
1.380,-0.6392,0.2503,-0.3313,0.4903
1.390,-0.6235,0.3001,-0.3310,0.5304
1.400,-0.6831,0.3048,-0.3387,0.5832
1.410,-0.6473,0.3016,-0.2641,0.6490
1.420,-0.6998,0.3319,-0.2920,0.6288
1.430,-0.6891,0.3249,-0.2714,0.7145
1.440,-0.7177,0.3711,-0.2757,0.7173
1.450,-0.7138,0.3962,-0.2193,0.7196
1.460,-0.7142,0.3082,-0.2266,0.7516
1.470,-0.7464,0.2637,-0.1676,0.7497
1.480,-0.7532,0.2210,-0.1715,0.8046
1.490,-0.7857,0.0851,-0.0743,0.7782
1.500,-0.7726,0.0248,-0.1292,0.7779
1.510,-0.8288,-0.1103,-0.1033,0.7732
1.520,-0.8234,-0.1615,-0.0459,0.7461
1.530,-0.8698,-0.2546,-0.0321,0.7442
1.540,-0.8626,-0.3196,0.0123,0.7149
1.550,-0.8711,-0.3308,0.0487,0.7170
1.560,-0.9094,-0.3679,0.0786,0.6941
1.570,-0.9096,-0.3574,0.1247,0.6478
1.580,-0.8766,-0.3355,0.1325,0.6319
1.590,-0.8660,-0.3134,0.1381,0.5794
1.600,-0.8309,-0.2857,0.1756,0.5353
1.610,-0.8246,-0.2631,0.2215,0.4872
1.620,-0.8420,-0.2117,0.2289,0.4717
1.630,-0.7767,-0.2044,0.2570,0.4070
1.640,-0.7469,-0.1789,0.2792,0.3887
1.650,-0.7594,-0.2110,0.2973,0.3451
1.660,-0.7111,-0.2632,0.3080,0.2935
1.670,-0.7040,-0.2882,0.2827,0.2852
1.680,-0.6336,-0.3500,0.3135,0.2186
1.690,-0.6221,-0.4715,0.3487,0.2201
1.700,-0.5947,-0.5119,0.3584,0.1865
1.710,-0.5373,-0.5793,0.3487,0.1466
1.720,-0.5283,-0.6189,0.3617,0.1153
1.730,-0.5245,-0.7494,0.3782,0.0940
1.740,-0.5096,-0.7872,0.3507,0.1219
1.750,-0.4919,-0.8029,0.3759,0.0977
1.760,-0.4408,-0.7524,0.3693,0.0772
1.770,-0.4385,-0.7363,0.3529,0.0777
1.780,-0.4035,-0.7164,0.3494,0.1145
1.790,-0.3968,-0.6517,0.3419,0.1400
1.800,-0.3685,-0.5705,0.3511,0.1201
1.810,-0.3320,-0.5620,0.3173,0.1485
1.820,-0.3713,-0.4739,0.2815,0.1913
1.830,-0.3900,-0.4429,0.2691,0.1977
1.840,-0.4067,-0.4047,0.2650,0.2557
1.850,-0.4131,-0.4255,0.2409,0.2988
1.860,-0.4003,-0.3479,0.2444,0.2807
1.870,-0.3981,-0.4108,0.1886,0.3844
1.880,-0.3914,-0.4374,0.2178,0.3680
1.890,-0.3785,-0.5019,0.1711,0.4206
1.900,-0.3412,-0.5745,0.1391,0.4215
1.910,-0.3661,-0.6091,0.0833,0.4771
1.920,-0.2599,-0.5992,0.0735,0.4844
1.930,-0.2576,-0.6436,0.0492,0.5167
1.940,-0.1962,-0.6783,0.0201,0.5446
1.950,-0.1945,-0.6881,-0.0030,0.5381
1.960,-0.1743,-0.6009,-0.0111,0.5749
1.970,-0.1475,-0.5956,-0.0326,0.5766
1.980,-0.0580,-0.5509,-0.0868,0.6294
1.990,-0.0840,-0.4212,-0.1449,0.5948
2.000,-0.0035,-0.3430,-0.1972,0.5555
2.010,0.0325,-0.2724,-0.1774,0.5820
2.020,0.0633,-0.2000,-0.2011,0.5791
2.030,0.1405,-0.0928,-0.2207,0.5510
2.040,0.1697,-0.0720,-0.2309,0.5048
2.050,0.2135,-0.0471,-0.2700,0.4789
2.060,0.2636,-0.0132,-0.2474,0.4867
2.070,0.2373,-0.0318,-0.2732,0.4331
2.080,0.2769,-0.0289,-0.3082,0.3923
2.090,0.3159,-0.0611,-0.3710,0.3842
2.100,0.3261,-0.0575,-0.3549,0.3020
2.110,0.3824,-0.1472,-0.3555,0.3035
2.120,0.3650,-0.1742,-0.3479,0.2447
2.130,0.4071,-0.1434,-0.2978,0.1724
2.140,0.3884,-0.1748,-0.3403,0.1788
2.150,0.4092,-0.1488,-0.3811,0.0796
2.160,0.4321,-0.0834,-0.3721,0.0981
2.170,0.4160,-0.0160,-0.3980,0.0264
2.180,0.4077,0.0451,-0.3429,-0.0157
2.190,0.4096,0.1668,-0.3427,-0.0114
2.200,0.4111,0.2283,-0.3129,-0.0565
2.210,0.4419,0.2852,-0.3277,-0.0666
2.220,0.4105,0.4077,-0.3415,-0.1227
2.230,0.4360,0.4952,-0.3086,-0.1054
2.240,0.4348,0.5124,-0.3232,-0.1486
2.250,0.4824,0.5450,-0.2539,-0.1495
2.260,0.4810,0.5857,-0.2775,-0.1795
2.270,0.5331,0.5633,-0.2880,-0.1472
2.280,0.5239,0.5680,-0.2381,-0.1541
2.290,0.5410,0.4774,-0.2151,-0.1612
2.300,0.5678,0.4247,-0.2074,-0.1496
2.310,0.6087,0.4003,-0.1774,-0.0909
2.320,0.6496,0.3674,-0.1367,-0.0472
2.330,0.6871,0.3578,-0.1530,-0.0678
2.340,0.6702,0.3266,-0.0672,-0.0414
2.350,0.7541,0.3188,-0.0360,-0.0301
2.360,0.7668,0.3699,-0.0095,0.0288
2.370,0.8367,0.3928,-0.0018,0.0073
2.380,0.8563,0.4477,0.0111,0.1204
2.390,0.8650,0.5213,0.0330,0.1335
2.400,0.8435,0.5643,0.1094,0.1127
2.410,0.8788,0.6640,0.1558,0.1907
2.420,0.8335,0.6977,0.1416,0.2180
2.430,0.8972,0.7218,0.1585,0.2546
2.440,0.9072,0.8274,0.1811,0.2783
2.450,0.9053,0.8233,0.2261,0.2907
2.460,0.8463,0.7583,0.2528,0.2811
2.470,0.8495,0.7436,0.2454,0.3024
2.480,0.8148,0.7070,0.2769,0.3016
2.490,0.8035,0.6589,0.3265,0.2919
2.500,0.8247,0.5910,0.2515,0.2848
2.510,0.7682,0.5174,0.3221,0.3008
2.520,0.7743,0.4170,0.3153,0.2536
2.530,0.7395,0.3759,0.3437,0.2455
2.540,0.7434,0.3544,0.3793,0.2520
2.550,0.7130,0.3245,0.3666,0.1983
2.560,0.7211,0.3388,0.3981,0.1817
2.570,0.6904,0.3235,0.3605,0.1597
2.580,0.6726,0.3367,0.3958,0.1139
2.590,0.6704,0.3939,0.3615,0.0771
2.600,0.6645,0.3925,0.3538,0.0073
2.610,0.6693,0.4328,0.3667,0.0023
2.620,0.6724,0.4870,0.3486,-0.0956
2.630,0.6485,0.5062,0.3372,-0.1017
2.640,0.6556,0.5152,0.3094,-0.1651
2.650,0.6885,0.4923,0.3287,-0.1731
2.660,0.7032,0.4665,0.2725,-0.2463
2.670,0.6654,0.4620,0.2508,-0.2709
2.680,0.6931,0.3267,0.2422,-0.3407
2.690,0.6843,0.2203,0.2313,-0.3506
2.700,0.6922,0.1617,0.2009,-0.3484
2.710,0.6973,0.0708,0.1636,-0.3802
2.720,0.6927,-0.0109,0.1732,-0.4189
2.730,0.6974,-0.1008,0.1690,-0.4144
2.740,0.6911,-0.1752,0.0949,-0.4594
2.750,0.6608,-0.1825,0.0730,-0.4310
2.760,0.6459,-0.2521,0.0551,-0.5098
2.770,0.6070,-0.2245,0.0256,-0.4635
2.780,0.5865,-0.2112,0.0409,-0.4270
2.790,0.5404,-0.1482,-0.0485,-0.4574
2.800,0.5595,-0.1858,-0.0314,-0.4518
2.810,0.4894,-0.1119,-0.0356,-0.4248
2.820,0.4522,-0.0687,-0.1007,-0.4034
2.830,0.4123,-0.0633,-0.1036,-0.3811
2.840,0.3639,-0.0579,-0.1496,-0.3386
2.850,0.3320,-0.0955,-0.1863,-0.2968
2.860,0.2705,-0.0943,-0.1890,-0.3003
2.870,0.2596,-0.1682,-0.2000,-0.2199
2.880,0.2101,-0.2546,-0.2481,-0.2306
2.890,0.1684,-0.3142,-0.2550,-0.1890
2.900,0.1373,-0.3975,-0.2833,-0.1690
2.910,0.1209,-0.4933,-0.3110,-0.1021
2.920,0.1161,-0.5637,-0.3016,-0.0805
2.930,0.0770,-0.6105,-0.2840,-0.0644
2.940,0.0682,-0.6576,-0.3350,-0.0665
2.950,0.0624,-0.7334,-0.3017,-0.0078
2.960,0.0356,-0.7071,-0.3098,-0.0292
2.970,-0.0015,-0.7062,-0.3554,-0.0196
2.980,0.0165,-0.6605,-0.3698,0.0390
2.990,-0.0215,-0.6449,-0.3473,0.0047
3.000,0.0084,-0.5803,-0.3748,-0.0068
3.010,-0.0201,-0.5047,-0.3611,0.0139
3.020,-0.0017,-0.4461,-0.3288,0.0023
3.030,-0.0063,-0.4391,-0.3454,-0.0666
3.040,-0.0260,-0.4184,-0.3236,-0.0404
3.050,-0.0713,-0.4185,-0.3281,-0.0864
3.060,-0.0561,-0.4327,-0.3080,-0.1386
3.070,-0.1208,-0.4237,-0.3210,-0.1483
3.080,-0.1275,-0.5090,-0.2872,-0.1805
3.090,-0.1043,-0.5246,-0.2672,-0.1948
3.100,-0.1298,-0.5827,-0.2514,-0.2292
3.110,-0.1480,-0.6335,-0.1878,-0.2721
3.120,-0.2005,-0.7168,-0.2241,-0.3335
3.130,-0.2874,-0.7422,-0.1620,-0.3879
3.140,-0.2818,-0.7755,-0.1658,-0.3959
3.150,-0.3281,-0.7407,-0.0975,-0.4313
3.160,-0.3904,-0.6972,-0.1188,-0.4968
3.170,-0.4132,-0.6592,-0.1034,-0.5247
3.180,-0.4431,-0.6044,-0.0590,-0.5483
3.190,-0.5065,-0.5248,-0.0213,-0.6279
3.200,-0.5208,-0.4641,-0.0090,-0.6427
3.210,-0.5680,-0.4152,0.0585,-0.6747
3.220,-0.6076,-0.2871,0.0627,-0.6577
3.230,-0.5917,-0.2503,0.0561,-0.6707
3.240,-0.6299,-0.1995,0.0773,-0.6736
3.250,-0.6542,-0.1870,0.1432,-0.7333
3.260,-0.6911,-0.1672,0.1390,-0.7225
3.270,-0.7053,-0.1332,0.1810,-0.6898
3.280,-0.6790,-0.1732,0.1991,-0.6835
3.290,-0.6709,-0.1765,0.2463,-0.6613
3.300,-0.6848,-0.2644,0.2562,-0.6606
3.310,-0.7032,-0.2729,0.2487,-0.6359
3.320,-0.6835,-0.3194,0.2786,-0.6312
3.330,-0.7139,-0.2968,0.2832,-0.6059
3.340,-0.7039,-0.2980,0.3034,-0.5847
3.350,-0.6987,-0.2873,0.3238,-0.5519
3.360,-0.6659,-0.2604,0.3806,-0.5162
3.370,-0.6863,-0.1815,0.3165,-0.4464
3.380,-0.6307,-0.1187,0.3445,-0.4384
3.390,-0.6651,0.0036,0.3636,-0.4116
3.400,-0.6348,0.0900,0.3581,-0.3729
3.410,-0.6677,0.1425,0.3583,-0.3336
3.420,-0.7198,0.2624,0.3515,-0.2753
3.430,-0.6866,0.3212,0.3667,-0.2611
3.440,-0.6896,0.4390,0.3357,-0.2405
3.450,-0.6746,0.3969,0.3111,-0.2508
3.460,-0.7146,0.4436,0.3377,-0.2313
3.470,-0.7227,0.4539,0.3101,-0.1898
3.480,-0.7481,0.4197,0.3122,-0.2026
3.490,-0.7844,0.3582,0.2977,-0.1653
3.500,-0.8020,0.3517,0.2380,-0.1584
3.510,-0.8277,0.3107,0.2740,-0.1949
3.520,-0.8113,0.2782,0.2334,-0.1776
3.530,-0.8750,0.2656,0.2138,-0.1814
3.540,-0.8665,0.2392,0.1986,-0.2210
3.550,-0.8945,0.2530,0.1942,-0.2434
3.560,-0.8937,0.2999,0.1084,-0.3095
3.570,-0.8777,0.3354,0.1256,-0.3139
3.580,-0.8777,0.3646,0.1008,-0.3602
3.590,-0.8704,0.4688,0.0359,-0.3726
3.600,-0.8402,0.5702,0.0152,-0.3916
3.610,-0.8651,0.5867,0.0512,-0.4227
3.620,-0.8370,0.6848,0.0060,-0.4709
3.630,-0.7530,0.7466,-0.0928,-0.5190
3.640,-0.7868,0.7670,-0.0584,-0.5645
3.650,-0.7654,0.8150,-0.0722,-0.6022
3.660,-0.7000,0.7968,-0.0838,-0.6456
3.670,-0.6667,0.7465,-0.1104,-0.6621
3.680,-0.6960,0.7175,-0.1927,-0.6936
3.690,-0.6203,0.6538,-0.2094,-0.7396
3.700,-0.6053,0.5943,-0.1755,-0.7275
3.710,-0.5687,0.5607,-0.2491,-0.7486
3.720,-0.5355,0.4805,-0.2281,-0.7922
3.730,-0.4911,0.4261,-0.2104,-0.7965
3.740,-0.4596,0.4041,-0.2985,-0.7704
3.750,-0.4869,0.3286,-0.2726,-0.7786
3.760,-0.4484,0.3681,-0.2711,-0.7834
3.770,-0.4492,0.4053,-0.3390,-0.8016
3.780,-0.4465,0.3785,-0.3472,-0.7541
3.790,-0.4394,0.4534,-0.3546,-0.7449
3.800,-0.4114,0.5209,-0.3393,-0.7651
3.810,-0.4266,0.5732,-0.3422,-0.7018
3.820,-0.4670,0.6167,-0.3529,-0.6458
3.830,-0.4112,0.6205,-0.3298,-0.6757
3.840,-0.3805,0.6153,-0.3153,-0.6087
3.850,-0.3842,0.6024,-0.3414,-0.5828
3.860,-0.4295,0.5738,-0.3126,-0.5768
3.870,-0.3559,0.5207,-0.3172,-0.5361
3.880,-0.3619,0.4741,-0.2915,-0.4474
3.890,-0.3336,0.3883,-0.3274,-0.4096
3.900,-0.3684,0.2877,-0.2752,-0.3896
3.910,-0.2905,0.2080,-0.3091,-0.3677
3.920,-0.2953,0.1180,-0.2309,-0.3328
3.930,-0.3001,0.0623,-0.2644,-0.2620
3.940,-0.2350,-0.0320,-0.2009,-0.2197
3.950,-0.2461,-0.0245,-0.1925,-0.2381
3.960,-0.1619,-0.0522,-0.1947,-0.1916
3.970,-0.1559,-0.0241,-0.1279,-0.2258
3.980,-0.0872,-0.0205,-0.1450,-0.1919
3.990,-0.0519,0.0002,-0.1233,-0.1800
4.000,0.0108,0.0043,-0.1038,-0.2024
4.010,0.0135,0.0165,-0.0958,-0.1905
4.020,0.0930,0.0669,-0.0525,-0.2013
4.030,0.1090,0.0523,-0.0351,-0.1761
4.040,0.1406,0.0791,0.0029,-0.1557
4.050,0.1701,0.0629,0.0342,-0.2376
4.060,0.2467,0.0232,0.0448,-0.2353
4.070,0.2792,-0.0108,0.0788,-0.2395
4.080,0.2948,-0.1489,0.1259,-0.2985
4.090,0.3048,-0.1741,0.1297,-0.3070
4.100,0.3407,-0.2666,0.1756,-0.3502
4.110,0.3380,-0.3513,0.1843,-0.3534
4.120,0.3811,-0.4359,0.1895,-0.4362
4.130,0.3834,-0.5432,0.2011,-0.4651
4.140,0.3872,-0.5679,0.2652,-0.5054
4.150,0.4077,-0.6074,0.2560,-0.5257
4.160,0.3566,-0.6151,0.2627,-0.5814
4.170,0.3632,-0.6176,0.2518,-0.5753
4.180,0.3990,-0.6177,0.2882,-0.6049
4.190,0.3952,-0.5523,0.3049,-0.6468
4.200,0.3775,-0.5029,0.3099,-0.6058
4.210,0.4132,-0.4652,0.3478,-0.6848
4.220,0.4306,-0.4324,0.3642,-0.7068
4.230,0.4436,-0.3612,0.3302,-0.7023
4.240,0.4611,-0.3536,0.3157,-0.7022
4.250,0.4468,-0.3829,0.3239,-0.6802
4.260,0.5169,-0.3346,0.3332,-0.7152
4.270,0.4877,-0.3905,0.2991,-0.6939
4.280,0.5207,-0.4380,0.3033,-0.6500
4.290,0.5855,-0.5367,0.3247,-0.6829
4.300,0.5867,-0.6025,0.2539,-0.6197
4.310,0.6262,-0.6955,0.2656,-0.6149
4.320,0.6400,-0.7235,0.2613,-0.5885
4.330,0.6884,-0.7697,0.2635,-0.5383
4.340,0.7227,-0.7887,0.2664,-0.4944
4.350,0.7615,-0.7660,0.2022,-0.4387
4.360,0.8077,-0.7946,0.2116,-0.4235
4.370,0.8068,-0.7289,0.1786,-0.3484
4.380,0.8037,-0.6889,0.1911,-0.2934
4.390,0.8301,-0.6044,0.1527,-0.3223
4.400,0.8368,-0.5706,0.1151,-0.2579
4.410,0.8680,-0.4460,0.1098,-0.1569
4.420,0.8698,-0.3855,0.0852,-0.1421
4.430,0.8700,-0.3243,0.0847,-0.1515
4.440,0.8748,-0.2857,0.0183,-0.1223
4.450,0.9077,-0.2723,0.0365,-0.0862
4.460,0.8580,-0.2420,-0.0276,-0.0689
4.470,0.8356,-0.2603,-0.0618,-0.0282
4.480,0.7901,-0.2995,-0.0769,-0.0236
4.490,0.7985,-0.3391,-0.0962,0.0284
4.500,0.7720,-0.3650,-0.1018,0.0128
4.510,0.7790,-0.4057,-0.1441,0.0068
4.520,0.7179,-0.4414,-0.2056,0.0328
4.530,0.7593,-0.4608,-0.1717,0.0495
4.540,0.7128,-0.4206,-0.2007,-0.0150
4.550,0.6871,-0.4399,-0.2349,-0.0715
4.560,0.7060,-0.3972,-0.2354,-0.0523
4.570,0.7438,-0.3669,-0.2795,-0.0519
4.580,0.7222,-0.2802,-0.2390,-0.1094
4.590,0.6949,-0.1737,-0.2442,-0.0830
4.600,0.6528,-0.0249,-0.3228,-0.1544
4.610,0.7012,-0.0066,-0.3230,-0.1765
4.620,0.6758,0.1017,-0.3331,-0.2070
4.630,0.6832,0.1985,-0.3179,-0.2681
4.640,0.6763,0.2145,-0.3024,-0.3083
4.650,0.6931,0.2455,-0.3059,-0.2902
4.660,0.6929,0.2969,-0.3387,-0.3214
4.670,0.6939,0.3027,-0.3295,-0.4118
4.680,0.6901,0.3035,-0.2985,-0.3848
4.690,0.7017,0.2396,-0.3100,-0.3970
4.700,0.6864,0.2262,-0.2911,-0.4459
4.710,0.7013,0.1883,-0.2927,-0.4495
4.720,0.6903,0.1413,-0.2891,-0.4427
4.730,0.6927,0.1057,-0.3066,-0.4442
4.740,0.6570,0.1350,-0.2784,-0.4702
4.750,0.6662,0.1793,-0.2502,-0.4604
4.760,0.6164,0.1900,-0.2167,-0.4340
4.770,0.6453,0.2410,-0.2475,-0.4340
4.780,0.6049,0.3124,-0.2121,-0.4167
4.790,0.5705,0.4003,-0.1618,-0.3804
4.800,0.5369,0.4363,-0.1826,-0.3689
4.810,0.5131,0.5455,-0.1271,-0.3670
4.820,0.4243,0.6335,-0.1160,-0.3296
4.830,0.4312,0.6771,-0.0327,-0.2418
4.840,0.3798,0.7125,-0.0629,-0.2296
4.850,0.3035,0.7578,-0.0375,-0.2415
4.860,0.2797,0.7254,0.0013,-0.1446
4.870,0.2837,0.6929,-0.0150,-0.0788
4.880,0.2043,0.6690,0.0208,-0.0715
4.890,0.1941,0.6651,0.0241,-0.0185
4.900,0.1524,0.5894,0.0967,0.0324
4.910,0.1124,0.5090,0.0673,0.0639
4.920,0.0994,0.4978,0.1194,0.1570
4.930,0.0761,0.4277,0.1570,0.1279
4.940,0.0636,0.3685,0.1844,0.1824
4.950,0.0485,0.4024,0.1660,0.1933
4.960,0.0631,0.4167,0.1990,0.2462
4.970,0.0299,0.4706,0.2514,0.2683
4.980,0.0044,0.5062,0.2440,0.2606
4.990,-0.0180,0.5023,0.2543,0.3067
5.000,0.0183,0.5962,0.2786,0.3166
5.010,0.0388,0.6436,0.3201,0.2737
5.020,-0.0283,0.6550,0.2452,0.3046
5.030,0.0061,0.6912,0.3118,0.2807
5.040,-0.0416,0.7222,0.2913,0.3115
5.050,-0.0826,0.7175,0.3109,0.3039
5.060,-0.0442,0.6432,0.2760,0.2363
5.070,-0.0877,0.6350,0.3269,0.2486
5.080,-0.1265,0.5396,0.3313,0.2037
5.090,-0.1260,0.4870,0.3210,0.2139
5.100,-0.1846,0.3924,0.3336,0.1867
5.110,-0.1875,0.3076,0.2752,0.1303
5.120,-0.2424,0.2974,0.3547,0.0985
5.130,-0.2443,0.1832,0.3217,0.0624
5.140,-0.2912,0.1593,0.3007,0.0739
5.150,-0.3650,0.0854,0.2577,0.0178
5.160,-0.3827,0.0917,0.2385,-0.0298
5.170,-0.3676,0.1136,0.2089,-0.0475
5.180,-0.4370,0.0873,0.2076,-0.0659
5.190,-0.4902,0.1356,0.2085,-0.0538
5.200,-0.5473,0.1475,0.2027,-0.1037
5.210,-0.5908,0.2159,0.1429,-0.1323
5.220,-0.6005,0.2019,0.1734,-0.1894
5.230,-0.6366,0.2124,0.1461,-0.1171
5.240,-0.6304,0.2567,0.0612,-0.1458
5.250,-0.6933,0.2010,0.0872,-0.1436
5.260,-0.6539,0.1290,0.0417,-0.1668
5.270,-0.7258,0.1302,0.0379,-0.0930
5.280,-0.6771,0.0372,-0.0095,-0.0868
5.290,-0.7189,-0.0737,-0.0376,-0.0822
5.300,-0.6807,-0.1399,-0.0144,-0.0568
5.310,-0.7128,-0.1775,-0.0265,-0.0249
5.320,-0.7170,-0.3485,-0.0786,-0.0007
5.330,-0.6855,-0.3823,-0.1010,0.0635
5.340,-0.6822,-0.4593,-0.1477,0.0911
5.350,-0.7033,-0.4672,-0.1398,0.1193
5.360,-0.6913,-0.5336,-0.1974,0.1298
5.370,-0.6699,-0.5040,-0.2132,0.2228
